AreaID,Sex,Cancer,Years,PopTot,AAIR,LCI,UCI,White_PopTot,White_AAIR,White_LCI,White_UCI,Black_PopTot,Black_AAIR,Black_LCI,Black_UCI,Hispanic_PopTot,Hispanic_AAIR,Hispanic_LCI,Hispanic_UCI,Asian_PopTot,Asian_AAIR,Asian_LCI,Asian_UCI,QNSES,PopAll,PerRural,PerUninsured,PerForeignBorn,PerWhite,PerBlack,PerAsian,PerHispanic,PerDocVisit,PerFOBT,PerMammo,PerMenPrev,PerCervical,PerWomenPrev,CES_Ozone,CES_PM2.5,CES_Diesel_PM,CES_Drinking_Water,CES_Lead,CES_Pesticides,CES_Tox._Release,CES_Traffic,CES_Cleanup_Sites,CES_Groundwater_Threats,CES_Haz._Waste,CES_Imp._Water_Bodies,CES_Solid_Waste,CES_Pollution_Burden,CES_Asthma,CES_Low_Birth_Weight,CES_Cardiovascular_Disease,CES_Education,CES_Linguistic_Isolation,CES_Poverty,CES_Unemployment,CES_Housing_Burden,PerSmoking,MSSA_Area_SqMi
78.2g,Both,Lung,10yr,1160007.0,29.7,26.6,33.0,304096.0,40.2,33.8,47.1,50196.0,45.0,30.1,62.8,612045.0,19.2,14.9,24.1,191143.0,32.5,25.9,39.8,2,115904,0.0,17.1,47.5,27.1,4.5,16.7,51.5,60.6,53.8,73.9,28.3,77.7,25.5,0.04875993928801398,12.015793544673535,0.4916382669487628,787.94,70.51918185999448,0.0,1516.052547469083,1707.3250568650508,9.67076165946095,14.11338331340263,0.5025010118664337,0.17327752736638763,0.8146955201913347,56.427644834881804,49.6422727439978,5.622215435562505,13.358951614386902,26.03011406494343,29.34005858899725,48.59480544568117,6.1727252307058755,27.179939288013983,13.902502240037727,0.156080753739
78.2gg,Both,Lung,10yr,1042936.0,32.1,28.4,36.0,148203.0,56.6,47.7,66.3,35187.0,47.4,29.4,69.7,784599.0,20.2,16.2,24.5,71711.0,21.4,12.3,32.9,3,103769,0.5,9.5,35.3,13.3,3.2,7.6,75.6,60.7,54.4,74.2,28.0,80.5,25.5,0.06743757286299876,10.953368224949044,0.22024700086495433,703.484840829604,60.39387422294533,0.007671486593208229,480.1150964943064,1310.0061483904442,3.342559512617051,4.068133955097589,0.9048173724192395,0.0,2.93689359181678,48.342929750667516,60.943180305366475,5.318422046589804,12.252972340265503,30.166939086437633,11.154883347501656,35.061538027480225,4.204898460375933,22.09779352035515,12.873596605744126,2.68180114494
78.2ggg,Both,Lung,10yr,1316814.0,36.2,32.4,40.3,21689.0,77.3,44.2,119.4,277892.0,68.8,60.5,77.7,1002567.0,14.6,11.0,18.7,,,,,1,130448,0.0,16.0,39.1,1.8,19.6,1.1,77.3,60.6,50.0,75.9,20.2,78.1,19.6,0.04459962461225456,12.021197848550674,0.269622892921362,788.6005968235321,91.4293661391657,0.0,3558.85794314004,1482.6465013866932,19.766092958614216,9.31201957174276,0.2548274219315276,0.0,2.449883945009994,54.348860870125876,93.23325383805313,6.663027745739277,20.853417246344623,46.691450615736194,17.10604667820689,55.994906475438604,6.473492730655275,37.43640114908768,18.5141108596281,0.20346180073
78.2gggg,Both,Lung,10yr,947530.0,29.6,26.6,32.7,493080.0,34.3,30.3,38.6,64250.0,18.4,10.8,28.0,258418.0,19.5,14.0,26.0,128993.0,27.9,20.0,37.0,5,95759,1.2,4.3,21.9,51.0,6.6,14.2,27.9,65.3,63.7,75.5,37.4,83.9,33.4,0.0612277166574201,11.679720598706176,0.1927248118411824,571.348970072542,51.412902316614456,2.0297545299431596,1014.5463570787107,956.322806825912,4.527606222064042,4.0522882624488386,0.23089531146957523,0.033329495137703995,1.033420565052182,43.315292836880175,38.442628047440095,3.927677743145438,10.757009871141305,7.38419966261879,5.272171289068639,16.410633419620684,5.378650747530244,13.172089386655397,8.851210815424645,4.537476822
78.2h,Both,Lung,10yr,960634.0,19.1,16.1,22.4,,,,,,,,,908720.0,17.4,14.4,20.7,,,,,1,95327,0.0,15.2,42.2,2.8,1.5,1.8,93.8,58.7,47.9,73.6,20.4,77.2,19.4,0.04864572203334952,12.337357163901775,0.5870378419944957,670.0723245507528,89.56946070098753,0.0,2409.6415072308564,1875.158730126981,8.769169398575361,7.713388882143436,2.4830854379148457,4.367026873887,2.3214642018779346,60.36841559413955,63.22692538853812,5.279249332200098,16.083402642868705,49.97537841994496,20.420318317953697,56.36331046624574,6.805119799255301,27.330334304678647,15.510863012527254,0.116294933456
78.2hh,Both,Lung,10yr,860962.0,35.9,32.6,39.2,395977.0,43.0,38.4,47.9,,,,,248640.0,20.1,14.4,26.9,173990.0,29.2,22.9,36.3,5,86495,0.5,5.3,35.1,44.2,4.9,20.3,30.5,65.8,62.8,74.5,37.2,82.1,32.3,0.06621356391530017,11.30613076895974,0.12210724128427726,731.7392212117036,43.2162942676037,0.002833011804694318,369.1357646011715,1546.226107183739,0.8587570621468926,0.0,0.29636127187543065,2.7603922649395987,3.3632469799274265,43.99299331679757,42.82950036746129,4.774750241146478,12.768338960084517,10.152289743236416,7.576622325450452,18.900807057057058,4.762900188323917,16.99258072665472,9.173866124270802,0.990325646007
78.2hhh,Both,Lung,10yr,946645.0,37.3,33.5,41.3,274377.0,36.6,30.4,43.4,144459.0,61.3,51.0,72.5,424103.0,19.9,14.9,25.6,101328.0,39.4,29.2,51.1,3,94625,0.0,9.5,29.9,30.0,13.9,11.3,44.6,63.7,58.7,76.6,29.3,81.5,26.3,0.05871241403966269,11.36233568959002,0.2597740531219112,646.7321677777544,70.64028464175307,0.03398414334083405,1078.1292499860717,1006.4935276620386,1.2525120397047382,3.079656579251751,0.1988764694748796,0.5651826460011357,1.6226483144413368,44.94775956341612,37.37424754474144,5.502664768320282,9.56453208134424,19.05895775062564,10.923508443565856,37.43564698954806,4.976962629597695,23.338085424071,12.013067022775546,2.07289481203
78.2hhhh,Both,Lung,10yr,950199.0,39.5,35.1,44.2,178893.0,57.7,49.4,66.7,44193.0,41.7,24.0,64.1,596369.0,21.9,16.4,28.3,128374.0,32.2,23.4,42.3,2,94486,0.0,13.2,45.7,17.7,4.8,13.9,63.4,59.9,52.8,73.4,28.2,78.5,25.2,0.06115690498937394,12.460354952964183,0.16420161243151551,726.64,60.41453167345825,0.020902337733237145,539.8373017580768,1128.5373555206183,2.704782214509934,8.795676460839557,0.4352610696250659,3.4916551307297863,2.1861749107995867,52.83343553198541,70.73187788804617,5.37065189416834,17.43193257813566,28.500788668135467,20.2867281483359,43.12209538107587,4.776184951939012,27.67052486888027,14.084227184807455,0.323482383788
78.2i,Both,Lung,10yr,1229322.0,25.8,23.0,28.9,128751.0,54.7,42.4,68.5,27758.0,54.2,31.1,83.5,899747.0,17.3,14.3,20.4,169899.0,33.0,26.3,40.3,2,122528,0.0,12.1,38.5,11.4,2.5,13.7,72.2,60.8,52.6,74.2,25.6,78.0,23.8,0.051947085260637064,12.044422755376273,0.18527295541777386,592.1379380310337,75.99516328773413,0.0,1541.0092694067841,1136.6568612408596,10.536350588852804,7.651596791654365,0.595809180526851,4.190146967162025,1.1573372863563298,50.800618295443364,51.932664025850464,6.072424302070006,11.016120870649214,32.34544992290785,16.858250500278842,44.25678656956336,8.183507200734836,24.986716366499362,12.465489147615909,0.175650566431
78.2ii,Both,Lung,10yr,942558.0,34.0,30.5,37.6,476097.0,40.8,36.2,45.8,65591.0,34.0,16.4,57.9,277766.0,17.3,11.7,24.1,119684.0,21.1,13.2,30.7,4,95002,0.0,7.3,37.7,49.7,7.3,13.0,29.7,63.2,61.0,74.8,35.3,82.7,30.1,0.06008511977962516,12.537771400889568,0.2026071326676177,726.64,50.14286614344027,3.6947824290422546,680.4769631595454,1930.4758781786807,5.594879728466721,7.510831816616656,0.38526159673373006,5.949697476511387,2.5690520930690144,55.96693501893846,58.375537507993506,4.675161404823411,15.045695410497322,11.370129754885529,11.926663840192465,28.596044074966795,6.886505825153656,22.933586401372484,10.54586661856414,0.374969353071
